"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Iran";"Chin";0,161290347576141;1
"2";"Iran";"PakN";0,294117629528046;0,999
"3";"Mal";"Chin";0,375;0,982
"4";"Iran";"Mal";0,39130437374115;0,978
"5";"Mal";"Jap";0,379310369491577;0,95
"6";"Mal";"Him";0,461538434028625;0,872
"7";"PakN";"Ell";0,571428537368774;0,581
"8";"Chin";"Adr";0,581395387649536;0,57
