sys;system;series;stage;short;bottom;mid;top;dur;stg;systemCol;seriesCol;col
Tr;Triassic;Lower Triassic;Griesbachian;Gries;251,9;251,205;250,51;;;#984b99;#a9599e;#b46aa8ff
Tr;Triassic;Lower Triassic;Dienerian;Dien;250,51;250,195;249,88;;;#984b99;#a9599e;#b76ca9ff
Tr;Triassic;Lower Triassic;Smithian;Smit;249,88;249,525;249,17;;;#984b99;#a9599e;#bb71abff
Tr;Triassic;Lower Triassic;Spathian;Spat;249,17;247,935;246,7;;;#984b99;#a9599e;#be74acff
