"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Iran";"Chin";0,161290347576141;1
"2";"Iran";"PakN";0,294117629528046;0,998
"3";"Mal";"Chin";0,375;0,976
"4";"Mal";"Jap";0,379310369491577;0,948
"5";"Jap";"Chin";0,422222197055817;0,929
"6";"Mal";"Him";0,461538434028625;0,863
"7";"PakN";"Ell";0,571428537368774;0,583
"8";"Mal";"Ell";0,56521737575531;0,572
"9";"Chin";"Adr";0,581395387649536;0,564
