"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"PakN";"Chin";0,169230759143829;1
"2";"PakN";"Him";0,107142865657806;1
"3";"Him";"Chin";0,134328365325928;1
"4";"Chin";"Adr";0,300000011920929;0,998
"5";"Ell";"Alb";0,368421077728271;0,938
"6";"Him";"Mal";0,414634168148041;0,915
"7";"Iran";"Adr";0,421052634716034;0,862
"8";"Jpn";"Bri";0,428571403026581;0,832
"9";"Him";"Alb";0,46341460943222;0,803
"10";"USA";"Bri";0,454545438289642;0,788
"11";"Jpn";"Adr";0,533333301544189;0,564
