"";"Adr";"Alb";"Chin";"Ell";"Him";"Jpn";"NewZ";"Spi";"USA"
"Cl_carinata";0;1;1;1;1;0;1;0;1
"Cl_nevadensis";0;0;0;1;1;0;0;0;0
"Cl_planata";0;1;1;1;1;0;0;0;0
"Cl_taylorae";0;0;1;0;1;0;0;0;0
"Cl_tulongensis";0;0;1;0;1;0;0;0;0
"Me_peculiaris";0;0;1;1;1;0;0;1;1
"Ncl_discreta";0;1;1;0;1;0;0;0;0
"Ncl_krystyni";0;1;0;1;1;0;0;0;0
"Ns_cristagalli";0;1;1;1;1;1;1;1;0
"Ns_dieneri";1;1;1;1;1;1;1;1;1
"Ns_pakistanensis";0;0;1;0;1;0;1;1;0
"Ns_svalbardensis";0;0;0;1;1;0;0;1;0
"Ss_kummeli";0;1;1;1;1;0;1;0;1
